month,day,T
0,1,1,11.1
1,1,2,10.2
2,1,3,1.7
3,1,4,-2.0
4,1,5,3.9
5,1,6,8.9
6,1,7,15.7
7,1,8,7.3
8,1,9,4.5
9,1,10,8.5
10,1,11,3.6
11,1,12,5.6
12,1,13,12.3
13,1,14,1.3
14,1,15,-7.0
15,1,16,1.3
16,1,17,9.0
17,1,18,11.2
18,1,19,0.7
19,1,20,0.1
20,1,21,-4.9
21,1,22,-1.1
22,1,23,8.4
23,1,24,13.5
24,1,25,6.2
25,1,26,5.1
26,1,27,7.8
27,1,28,7.9
28,1,29,6.3
29,1,30,4.6
30,1,31,8.5
31,2,1,15.0
32,2,2,7.4
33,2,3,3.9
34,2,4,6.3
35,2,5,2.4
36,2,6,10.2
37,2,7,7.8
38,2,8,3.5
39,2,9,8.5
40,2,10,10.0
41,2,11,4.0
42,2,12,-0.9
43,2,13,5.1
44,2,14,6.7
45,2,15,6.1
46,2,16,7.3
47,2,17,11.8
48,2,18,8.4
49,2,19,7.9
50,2,20,5.1
51,2,21,6.9
52,2,22,13.9
53,2,23,12.8
54,2,24,5.7
55,2,25,7.4
56,2,26,5.1
57,2,27,11.2
58,2,28,9.1
59,2,29,2.3
60,3,1,2.8
61,3,2,1.8
62,3,3,8.4
63,3,4,5.7
64,3,5,3.5
65,3,6,4.0
66,3,7,16.9
67,3,8,20.1
68,3,9,16.2
69,3,10,4.6
70,3,11,14.7
71,3,12,21.8
72,3,13,21.9
73,3,14,14.0
74,3,15,5.7
75,3,16,7.9
76,3,17,9.6
77,3,18,23.5
78,3,19,23.4
79,3,20,19.5
80,3,21,25.7
81,3,22,28.4
82,3,23,24.6
83,3,24,15.1
84,3,25,9.0
85,3,26,10.0
86,3,27,9.6
87,3,28,10.1
88,3,29,7.8
89,3,30,10.8
90,3,31,6.2
91,4,1,10.6
92,4,2,11.7
93,4,3,15.1
94,4,4,17.9
95,4,5,11.2
96,4,6,11.9
97,4,7,11.2
98,4,8,10.1
99,4,9,14.5
100,4,10,17.3
101,4,11,12.4
102,4,12,13.5
103,4,13,18.6
104,4,14,21.9
105,4,15,25.2
106,4,16,30.7
107,4,17,29.0
108,4,18,16.8
109,4,19,19.0
110,4,20,25.2
111,4,21,25.7
112,4,22,16.7
113,4,23,17.4
114,4,24,14.7
115,4,25,16.7
116,4,26,17.3
117,4,27,14.1
118,4,28,15.7
119,4,29,15.2
120,4,30,12.4
121,5,1,10.1
122,5,2,11.3
123,5,3,10.0
124,5,4,13.5
125,5,5,14.5
126,5,6,12.4
127,5,7,15.1
128,5,8,14.6
129,5,9,17.3
130,5,10,19.5
131,5,11,18.0
132,5,12,26.8
133,5,13,26.7
134,5,14,18.0
135,5,15,23.0
136,5,16,22.9
137,5,17,21.2
138,5,18,18.5
139,5,19,18.9
140,5,20,21.8
141,5,21,15.1
142,5,22,17.3
143,5,23,21.7
144,5,24,21.7
145,5,25,23.4
146,5,26,30.2
147,5,27,22.3
148,5,28,20.8
149,5,29,19.6
150,5,30,24.1
151,5,31,28.5
152,6,1,18.6
153,6,2,16.7
154,6,3,16.7
155,6,4,11.7
156,6,5,13.4
157,6,6,16.3
158,6,7,18.5
159,6,8,26.3
160,6,9,26.2
161,6,10,24.5
162,6,11,23.5
163,6,12,23.5
164,6,13,18.3
165,6,14,20.2
166,6,15,20.7
167,6,16,18.5
168,6,17,17.4
169,6,18,18.0
170,6,19,24.7
171,6,20,36.3
172,6,21,35.8
173,6,22,35.2
174,6,23,27.3
175,6,24,28.9
176,6,25,22.9
177,6,26,23.0
178,6,27,25.1
179,6,28,28.4
180,6,29,31.9
181,6,30,32.3
182,7,1,32.9
183,7,2,29.1
184,7,3,30.2
185,7,4,29.0
186,7,5,28.4
187,7,6,26.8
188,7,7,30.1
189,7,8,31.7
190,7,9,28.9
191,7,10,28.5
192,7,11,26.7
193,7,12,30.1
194,7,13,32.4
195,7,14,32.9
196,7,15,32.8
197,7,16,31.2
198,7,17,36.1
199,7,18,31.7
200,7,19,23.5
201,7,20,21.8
202,7,21,23.4
203,7,22,28.9
204,7,23,30.2
205,7,24,32.8
206,7,25,28.4
207,7,26,29.1
208,7,27,26.3
209,7,28,22.4
210,7,29,23.0
211,7,30,27.2
212,7,31,22.8
213,8,1,25.6
214,8,2,30.2
215,8,3,33.4
216,8,4,27.8
217,8,5,31.2
218,8,6,29.5
219,8,7,25.1
220,8,8,28.3
221,8,9,28.5
222,8,10,28.9
223,8,11,27.4
224,8,12,29.0
225,8,13,30.0
226,8,14,28.4
227,8,15,29.0
228,8,16,29.6
229,8,17,30.0
230,8,18,22.3
231,8,19,22.9
232,8,20,23.9
233,8,21,28.5
234,8,22,25.6
235,8,23,30.6
236,8,24,25.6
237,8,25,25.2
238,8,26,24.7
239,8,27,29.6
240,8,28,30.1
241,8,29,24.0
242,8,30,28.5
243,8,31,32.4
244,9,1,26.7
245,9,2,22.9
246,9,3,22.3
247,9,4,22.8
248,9,5,27.9
249,9,6,26.3
250,9,7,28.0
251,9,8,27.9
252,9,9,24.1
253,9,10,20.6
254,9,11,22.8
255,9,12,22.9
256,9,13,27.9
257,9,14,27.2
258,9,15,23.4
259,9,16,21.7
260,9,17,21.2
261,9,18,24.1
262,9,19,22.4
263,9,20,16.7
264,9,21,17.3
265,9,22,19.6
266,9,23,21.9
267,9,24,19.6
268,9,25,23.0
269,9,26,23.3
270,9,27,20.6
271,9,28,14.7
272,9,29,14.1
273,9,30,15.2
274,10,1,20.1
275,10,2,21.8
276,10,3,17.9
277,10,4,16.9
278,10,5,24.7
279,10,6,25.6
280,10,7,14.6
281,10,8,13.4
282,10,9,14.5
283,10,10,16.8
284,10,11,15.2
285,10,12,12.3
286,10,13,11.8
287,10,14,19.5
288,10,15,23.4
289,10,16,17.4
290,10,17,13.4
291,10,18,15.7
292,10,19,20.2
293,10,20,23.5
294,10,21,17.9
295,10,22,20.2
296,10,23,19.7
297,10,24,12.8
298,10,25,15.2
299,10,26,18.9
300,10,27,15.6
301,10,28,13.3
302,10,29,16.3
303,10,30,17.4
304,10,31,13.5
305,11,1,13.9
306,11,2,11.2
307,11,3,11.9
308,11,4,11.7
309,11,5,7.4
310,11,6,5.2
311,11,7,7.2
312,11,8,4.7
313,11,9,11.7
314,11,10,13.0
315,11,11,16.1
316,11,12,19.1
317,11,13,17.4
318,11,14,7.3
319,11,15,5.2
320,11,16,7.4
321,11,17,8.5
322,11,18,8.5
323,11,19,8.9
324,11,20,9.1
325,11,21,9.5
326,11,22,10.2
327,11,23,9.6
328,11,24,9.0
329,11,25,4.7
330,11,26,7.9
331,11,27,4.0
332,11,28,2.3
333,11,29,6.3
334,11,30,3.6
335,12,1,0.1
336,12,2,11.2
337,12,3,15.1
338,12,4,14.0
339,12,5,14.0
340,12,6,5.1
341,12,7,6.8
342,12,8,8.5
343,12,9,9.6
344,12,10,15.7
